recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
14756,14755,Alessi_62,94,4517608337531077504,0,0,0.43234327914279275,283.6393484,0.2594838,18.6952265,0.31498742,50.0191654,7.74034678,0.6864032,0.33072728,-0.69989035,0.41306007,1.53703799,0.43108547,1.2809316,0.08098801,0.15437,-0.25355,0.22969,-0.11215,-0.058059,-0.0080872,95,41.3187604,,1.0285856,0.66943359,210.33770475,0.76722264,55.90652218,3.8955753,223.52682102,4.937805,19.880074,20.969887,18.87457,2.095316,1.089813,1.005503,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.37950081,0.39555711,0.40773174,0.42505074,0.43754113,283.6393452,18.6952296
14757,14756,Alessi_62,94,4517662454130171520,0,0,0.43809482637454084,283.8780053,0.00875432,19.1788365,0.01033061,50.55768601,7.75033319,0.59576311,0.01128197,-0.99542667,0.01276638,1.52785096,0.01324815,,,-0.11735,-0.078039,0.39408,,,,31,41.769957,1.5549656,0.94808644,1.0,136975.27198584,23.999733,73388.72132183,39.391026,91030.57384672,32.14461,12.845761,13.174469,12.349927,0.824542,0.328708,0.495834,-17.113964,3.023771,2.0,17.0,4.0,12.167327,0.04752665,13.0,,,,NOT_AVAILABLE,0,0,1.36194121,1.37693591,1.44382291,1.48309533,1.55828906,283.8780025,19.178841
14758,14757,Alessi_62,94,4518191044345845760,0,0,0.47515546098518113,284.9524325,0.26828396,20.1822405,0.31916448,51.91621669,7.28531303,0.1983302,0.38694447,-0.93533964,0.42367598,1.61770731,0.4555838,1.366495,0.08294943,0.064472,-0.40128,-0.0064379,0.022745,-0.11496,-0.14983,95,42.6291101,,0.91792035,0.80957031,194.88023714,0.7514571,81.13339171,4.5576353,162.35087465,5.670169,19.962948,20.565542,19.22176,1.343782,0.602594,0.741188,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.37013823,0.38756627,0.39896763,0.41627326,0.42828321,284.9524315,20.1822447
14759,14758,Alessi_62,94,4518232447832320000,0,0,0.428986816920538,285.3761157,0.02514789,20.5727324,0.03588848,52.44650317,7.10246811,0.41544421,0.03627318,-1.03235749,0.04639595,1.62242712,0.04700732,1.358902,0.00892158,-0.20914,-0.13597,0.13712,0.087007,-0.059722,-0.13374,95,42.9593362,,1.1462474,1.0,7374.29012634,9.351448,3352.15833922,154.95541,8978.37050717,182.78113,16.018066,16.52523,14.864902,1.660329,0.507164,1.153165,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.7746106,0.78989485,0.81074575,0.83447306,0.85578825,285.3761138,20.572737
14760,14759,Alessi_62,94,4518388986484152576,0,0,0.4233398811731632,283.6478506,0.08185662,19.1686432,0.09207778,50.45201781,7.94113007,0.55634544,0.10095083,-1.01126338,0.11473753,1.50868304,0.11130287,,,-0.093952,-0.086457,0.48212,,,,31,41.7874327,1.2958837,0.9994791,1.0,1154.22800306,1.6717125,268.50482563,5.384294,1302.67153267,5.411424,18.031637,19.266163,16.960808,2.305355,1.234526,1.070829,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.57127535,0.57832994,0.59598042,0.60852727,0.6253384,283.647848,19.1686477
14761,14760,Alessi_62,94,4518715747594160768,0,0,0.4104386223126333,282.7564245,0.17905301,20.0426879,0.22441097,50.87701907,9.0779857,0.65882193,0.26714465,-0.78224155,0.31140256,1.6453603,0.30834937,1.2441137,0.061023,-0.2917,-0.27441,0.42046,0.1085,-0.076317,-0.21932,95,42.7579591,,1.0349224,0.73486328,281.95022377,1.8780149,144.06578476,15.504206,436.18692038,12.724071,19.561935,19.94214,18.148714,1.793426,0.380205,1.413221,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.41561793,0.42918522,0.44219341,0.45909815,0.47304733,282.7564214,20.0426914
14762,14761,Alessi_62,94,4518725750583524736,0,0,0.43049622110116437,282.9019221,0.02623925,20.2566024,0.03110019,51.1321811,9.04757745,0.47400882,0.03635487,-0.60346958,0.04037504,1.84146354,0.04215545,,,-0.068216,-0.27521,0.1518,,,,31,42.9538576,1.378179,0.9855033,1.0,5831.56649101,2.3752594,1923.25540976,7.513999,5608.32137398,6.795468,16.272903,17.12845,15.375814,1.752637,0.855547,0.89709,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.74346428,0.75738115,0.77663688,0.79845745,0.81915478,282.9019198,20.2566051
14763,14762,Alessi_62,94,4518794435702244480,0,0,0.4531639528343288,282.7402314,0.03418705,20.6190348,0.0461396,51.39679147,9.34097542,0.62269226,0.0488864,-0.74085332,0.06530605,1.82098878,0.05413191,,,0.051086,-0.020179,0.40815,,,,31,43.3319574,1.3479738,0.99203956,1.0,3413.86147437,2.0248985,1033.34185377,8.468961,3637.27812464,12.820296,16.854252,17.802933,15.845954,1.956979,0.948681,1.008298,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.68557467,0.70126179,0.71152067,0.73257574,0.74280938,282.7402284,20.6190381
14764,14763,Alessi_62,94,4518819449595853952,0,0,0.41822557998104376,283.9546153,0.0162439,19.7519505,0.02068111,51.10938846,7.93733752,0.58931548,0.02311871,-1.2531586,0.02817937,1.48217223,0.02867273,,,-0.082209,-0.27309,0.24055,,,,31,42.3289887,1.441312,0.97002095,1.0,13440.26915165,4.987609,5546.99803022,12.58404,11313.96692207,11.032891,15.366347,15.978397,14.613858,1.364539,0.61205,0.752489,,,,,,,,,,,,VARIABLE,0,0,0.86360009,0.87863127,0.9065753,0.93060241,0.96014749,283.9546125,19.7519561
14765,14764,Alessi_62,94,4518868996340136320,0,0,0.44684820387981133,284.3801783,0.02763141,20.3677496,0.03480849,51.84517923,7.84887821,0.19671679,0.04165661,-1.25808362,0.0475632,1.50007651,0.04662936,,,-0.078098,-0.14526,0.082302,,,,31,42.8864964,1.3823103,1.0877584,1.0,5003.75423861,2.4213533,1719.17838677,6.8483977,4829.4086267,7.938275,16.439127,17.25024,15.53816,1.71208,0.811113,0.900967,,,,,,,,,,,,VARIABLE,0,0,0.72655628,0.73262919,0.7552268,0.77018586,0.79545076,284.3801774,20.3677552
14766,14765,Alessi_62,94,4518874253380336384,0,0,0.42841780443742716,283.6323454,0.02397932,19.9139027,0.03173122,51.1222342,8.28080442,0.49404423,0.03417778,-1.40921341,0.04301908,1.65406555,0.04394769,1.3904861,0.00759237,-0.1468,-0.17962,0.22298,0.002784,-0.059863,-0.13183,95,42.5285501,,1.1338881,1.0,7865.25736954,6.251855,3492.77160194,46.498806,8845.22818388,58.32116,15.948085,16.480618,14.881123,1.599495,0.532533,1.066962,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.78350955,0.79900244,0.82063833,0.84430426,0.86594712,283.632343,19.913909
14767,14766,Alessi_62,94,4518882117454104704,0,0,0.44662486167004817,283.9162222,0.28440008,20.1149101,0.38965502,51.4228049,8.12899064,0.68756151,0.430959,-0.58224833,0.52500147,1.52153723,0.5950099,1.2184601,0.09673978,-0.12148,-0.32182,0.17344,0.093335,-0.12965,-0.30204,95,42.6935608,,1.0057038,0.59960937,136.95491479,0.54410315,42.57944692,3.9645233,177.84706876,4.6583905,20.345922,21.265543,19.122778,2.142765,0.91962,1.223144,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.33005925,0.3502757,0.36098815,0.37712169,0.38737511,283.916219,20.1149127
14768,14767,Alessi_62,94,4518899164180025344,0,1,0.5003776687667915,283.8162351,0.28536245,20.2706247,0.3925599,51.52273656,8.28153692,0.58987217,0.4489799,-1.20883972,0.54056406,1.59395938,0.5365548,1.4493713,0.0953349,-0.13589,-0.19749,0.25468,0.11407,-0.12784,-0.25772,95,42.8601443,,1.0254436,0.56835937,139.79392401,0.56028646,29.45354172,2.8131044,169.95747068,3.9960864,20.323647,21.665699,19.172045,2.493654,1.342052,1.151602,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.33265696,0.35227341,0.36313494,0.3793611,0.38960646,283.8162323,20.2706301
