recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
348018,348017,Melotte_22,4423,45000919277665536,1,0,0.19198713004814008,56.25604983,0.167824,18.8695205,0.10009544,170.163477,-27.6748716,25.40996349,0.223821,-54.73873835,0.12470313,9.13308644,0.1614066,1.1018858,0.03506207,0.14908,0.037591,-0.31556,-0.24339,-0.076258,-0.16073,95,-0.93168285,,1.0603918,1.0,1699.03065875,3.084773,385.08861895,5.6982536,6033.68011494,174.84792,17.611864,18.874641,15.29644,3.578201,1.262777,2.315424,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.17964471,0.20058192,0.22944961,0.25484411,0.27375603,56.25593048,18.8697638
348019,348018,Melotte_22,4423,45022222315428608,1,0,0.2909427621436789,56.11710344,0.01910688,19.1848141,0.01653691,169.8108716,-27.536919,18.73752627,0.02297732,-41.33948376,0.01897303,6.92425426,0.02039765,,,0.11223,0.05115,0.34543,,,,31,-0.5951332,1.478352,1.0556834,1.0,443825.04353447,1066.8802,201287.06149294,1508.0258,350790.79546854,1905.2728,11.569337,12.079002,10.885275,1.193728,0.509666,0.684062,9.59593,3.874063,1.0,15.0,2.0,10.604476,0.01346219,12.0,67.30898,39.723057,11.0,VARIABLE,0,0,0.85117249,0.88010217,0.89264333,0.91057654,0.94851371,56.11701527,19.1849978
348020,348019,Melotte_22,4423,46342250447561216,0,0,0.19583690901445205,61.44299768,0.17673515,16.745271,0.11445812,175.7221828,-25.6205381,17.83025673,0.216343,-48.22147052,0.14092875,8.03070075,0.18967126,1.1668478,0.0400226,-0.0099873,-0.15742,0.15922,0.12171,-0.076971,-0.043456,95,-4.02698364,,1.0542457,1.0,725.79083299,1.3110878,82.02211322,9.640875,1153.48583335,8.579171,18.535337,20.553715,17.092865,3.46085,2.018377,1.442472,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.12126114,0.12894822,0.15692085,0.17513815,0.19521305,61.44291492,16.7454853
348021,348020,Melotte_22,4423,46438771249859840,0,0,0.20380179431644738,61.21804759,0.08203451,17.4642811,0.05359013,174.9738519,-25.293935,18.62990924,0.10798229,-46.34950259,0.0639533,7.53722471,0.09798807,,,0.29226,-0.31347,0.071824,,,,31,-3.28012886,1.3378918,6.43711,1.0,103055.38481972,74.56153,29132.47518757,73.04427,111912.13720405,149.738,13.15469,14.177599,12.125703,2.051896,1.022909,1.028987,12.23112,2.386263,1.0,33.0,8.0,11.666414,0.02960123,24.0,15.648643,23.294497,15.0,NOT_AVAILABLE,0,0,0.65669309,0.6806942,0.69198819,0.7115022,0.71794553,61.21796079,17.4644871
348022,348021,Melotte_22,4423,46760305383987456,0,0,0.186920743626214,62.20633857,0.03014219,17.2914829,0.01925632,175.8154392,-24.7127972,15.77241855,0.03855647,-39.58091371,0.02844595,6.63944643,0.03274772,,,0.16363,-0.073166,0.21658,,,,31,-3.62793458,1.708612,0.99743545,1.0,16688097.02756377,5512.6333,11592205.668828,6066.098,7838998.03550327,2913.793,7.63135,7.678127,7.512244,0.165883,0.046777,0.119106,,,,,,,,,,,,NOT_AVAILABLE,0,0,1.878421,1.8937443,1.94000534,1.98481763,2.1560366,62.20626515,17.2916588
348023,348022,Melotte_22,4423,46843632046026240,0,0,0.18368794218932594,61.97510435,0.05755821,17.8402974,0.03784708,175.2051802,-24.5079368,21.00337155,0.07371356,-48.98689732,0.05516176,8.18427984,0.06228168,,,0.050135,-0.022486,0.23673,,,,31,-3.04763444,1.4851062,3.2376015,1.0,679277.49565942,1033.056,312742.26349245,1577.1724,527627.96841866,2222.4243,11.107249,11.600575,10.442076,1.1585,0.493326,0.665174,,,,,,,,,,,,NOT_AVAILABLE,1,0,0.95400196,0.95400196,0.9681339,0.98214885,1.02293691,61.97500628,17.8405151
348024,348023,Melotte_22,4423,46888952540781824,0,0,0.20254886001696226,62.24943727,0.07721409,17.894735,0.05279432,175.3536528,-24.2780385,15.31911136,0.10021618,-43.29572316,0.07536177,7.17364518,0.09019328,,,0.15662,-0.16281,0.054834,,,,31,-3.0427983,1.2323325,0.9815325,1.0,2845.01595597,3.9858367,399.00020684,11.660151,3899.32723867,16.241646,17.052155,18.83611,15.770421,3.065688,1.783955,1.281733,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.22300042,0.24986583,0.28284496,0.30502635,0.32866345,62.24936572,17.8949274
348025,348024,Melotte_22,4423,47048106850285824,0,0,0.232771902498445,61.52127092,0.04452281,18.0690541,0.03142865,174.6989771,-24.6717976,17.80615923,0.05698371,-43.17253737,0.04074165,7.20082637,0.04843391,,,0.1583,-0.057853,0.22041,,,,31,-2.74158698,1.2535732,1.0918037,1.0,7052.89707506,11.303887,1195.95773846,18.409933,9238.72767712,47.60691,16.066448,17.644253,14.833865,2.810388,1.577805,1.232583,,,,,,,,,,,,VARIABLE,0,0,0.33500012,0.3789747,0.39618408,0.41483292,0.42839832,61.52118767,18.0692459
348026,348025,Melotte_22,4423,47167884897203968,0,0,0.19317525394150037,61.81356813,0.03899243,18.542138,0.02594449,174.5233729,-24.1471579,16.05734582,0.06438956,-33.38973835,0.04201288,5.85184303,0.04115552,,,-0.04574,0.19795,-0.35607,,,,31,-2.32946535,1.3497877,1.8646793,1.0,38502.89872228,43.981495,11687.12905487,52.170395,40673.37053204,105.56073,14.223634,15.169272,13.22462,1.944653,0.945639,0.999014,15.124846,4.041769,2.0,14.0,1.0,12.831692,0.04997558,13.0,,,,NOT_AVAILABLE,0,0,0.56650527,0.56926471,0.59271328,0.60038549,0.62652846,61.81349286,18.5422864
348027,348026,Melotte_22,4423,47422799795696512,0,0,0.19942251150600998,64.80875873,0.06788166,18.0582594,0.03793089,176.974899,-22.3450624,14.10408028,0.08541126,-33.43233731,0.05498132,5.72178697,0.07086515,,,0.27927,-0.076403,0.10657,,,,31,-3.31413866,1.2414076,1.0695462,1.0,4374.68955745,4.1860633,627.74821704,9.962998,5845.48955984,13.078218,16.585,18.344078,15.330843,3.013235,1.759079,1.254156,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.27188706,0.31040824,0.33769607,0.36433515,0.37635178,64.8086928,18.058408
