recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
787123,787122,NGC_6633,4780,4278119895962480768,0,0,0.40353078693072697,276.4623951,0.02500286,3.97324958,0.0253974,33.56676069,7.49953433,1.67320352,0.03042723,-1.9823671,0.02750967,2.51731596,0.02845879,,,-0.15846,0.055045,0.29596,,,,31,27.2499088,1.4051559,1.024908,1.0,16846.13485229,7.9814334,6137.56317647,13.912552,15467.90523588,22.592709,15.121117,15.868552,14.274317,1.594235,0.747436,0.8468,-40.12338,12.497111,2.0,14.0,7.0,13.897019,0.12436012,9.0,,,,NOT_AVAILABLE,0,0,0.73100171,0.74017002,0.75515014,0.76697953,0.79942238,276.4623877,3.97325839
787124,787123,NGC_6633,4780,4278269566978374400,0,0,0.42975323752354944,274.7523638,0.02067328,3.96520627,0.01980963,32.78064929,9.01778223,0.61003738,0.02631352,-1.76229717,0.0248052,2.80020918,0.02804957,,,-0.25649,0.31595,0.0094005,,,,31,27.3164752,1.4151691,1.0632428,1.0,21078.5190293,4.923006,7982.60372361,13.729331,18752.64431614,15.982783,14.877767,15.58318,14.065239,1.517942,0.705414,0.812528,-28.022182,4.012638,2.0,19.0,7.0,13.995509,0.12500672,14.0,,,,NOT_AVAILABLE,0,0,0.75597456,0.76831609,0.78590111,0.79798859,0.83416982,274.7523611,3.9652141
787125,787124,NGC_6633,4780,4278381648444678912,0,0,0.41948903240899676,275.1380222,0.02472127,4.35226024,0.0234976,33.30602205,8.8492591,0.48465909,0.03259757,-1.84854893,0.03028048,2.76823379,0.03043093,,,0.048006,0.15704,0.12894,,,,31,27.6883697,1.3777297,1.0237787,1.0,13011.2821079,4.2836847,4329.97326296,10.200154,12801.04253708,24.465313,15.401567,16.24733,14.479782,1.767548,0.845763,0.921784,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.70383826,0.7127276,0.7258516,0.73547759,0.76327401,275.13802,4.35226846
787126,787125,NGC_6633,4780,4284123023292794496,0,0,0.4198892566837346,276.7312959,0.01909047,4.02800685,0.01792067,33.73824275,7.28497721,1.20150841,0.0218397,-2.62670374,0.02020574,2.37740292,0.02015812,,,-0.019962,0.062967,0.21023,,,,31,27.2908026,1.4525807,0.9510036,1.0,32461.41487255,27.766363,13778.93840508,41.025127,26775.92064408,68.332825,14.408948,14.990502,13.678534,1.311968,0.581554,0.730413,-26.964962,5.758062,2.0,12.0,2.0,13.383919,0.07219276,12.0,,,,NOT_AVAILABLE,0,0,0.81917059,0.83236075,0.84956786,0.8658693,0.9072625,276.7312906,4.02801852
787127,787126,NGC_6633,4780,4284170542812068608,0,0,0.457282891083045,277.2092736,0.02213204,4.53556017,0.02212026,34.41160028,7.08880191,1.45617211,0.02612072,-1.855382,0.02583529,2.53891136,0.02590446,,,-0.10134,0.1103,0.26317,,,,31,27.7716556,1.4166276,0.97245663,1.0,20128.90205393,8.598336,7637.08270822,11.92661,17921.04687773,24.250996,14.927816,15.631224,14.114487,1.516737,0.703407,0.81333,-24.887281,4.132432,2.0,13.0,4.0,13.7851515,0.15479194,9.0,,,,NOT_AVAILABLE,0,0,0.74984088,0.76198323,0.77949943,0.79160437,0.8269451,277.2092671,4.53556842
787128,787127,NGC_6633,4780,4284177273000559360,0,0,0.4237654834988104,276.8257975,0.01452607,4.46021097,0.01602595,34.16998026,7.39600668,1.30661432,0.01840965,-1.39781304,0.01618027,2.45499941,0.01810572,,,-0.091944,0.16636,-0.20366,,,,31,27.7174122,1.4863069,1.0788689,1.0,163617.32008073,34.222416,75340.74934987,80.55242,126963.57184095,58.196922,12.652794,13.145968,11.988698,1.15727,0.493174,0.664096,-11.828309,4.680504,1.0,12.0,4.0,11.736474,0.01617277,8.0,,,,NOT_AVAILABLE,0,0,1.09718861,1.12644435,1.15500907,1.18065557,1.23497143,276.8257917,4.46021719
787129,787128,NGC_6633,4780,4284207239002829824,0,0,0.4380640247586307,277.9047888,0.05706791,4.59185471,0.06286353,34.77720334,6.49546131,1.16337396,0.06486612,-2.46282447,0.06125903,2.41027905,0.07501657,,,-0.33012,0.28588,-0.014337,,,,31,27.7868581,1.3150151,0.9998229,1.0,3540.08628831,4.406911,885.99538041,11.854789,3947.00103304,7.494554,16.814833,17.969963,15.757227,2.212736,1.15513,1.057606,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.56989412,0.57832771,0.58922631,0.60006501,0.62095295,277.9047836,4.59186566
787130,787129,NGC_6633,4780,4284283070933474560,0,1,0.502286398585906,277.1407249,0.02343508,4.77798914,0.02487672,34.59865346,7.25908566,1.37904135,0.02794617,-2.2181366,0.02751258,2.44123498,0.02736944,,,-0.13184,0.054133,0.20944,,,,31,28.0175419,1.4060011,1.1008509,1.0,18312.20433604,9.166035,6781.18560956,20.499796,17412.67192335,94.54677,15.030516,15.760278,14.145732,1.614546,0.729762,0.884784,-18.508907,4.839737,2.0,4.0,3.0,,,,,,,NOT_AVAILABLE,0,0,0.73976411,0.74908294,0.76655633,0.77853192,0.81215164,277.1407188,4.777999
787131,787130,NGC_6633,4780,4284326707816353024,1,0,0.43899908061984916,277.6285036,0.02035283,5.21159879,0.01937506,35.20937676,7.02050609,1.18566279,0.02297363,-1.63696361,0.01911158,2.64525788,0.02400833,,,-0.090814,0.053759,-0.17501,,,,31,28.4222255,1.4551027,1.020105,1.0,40209.02214627,14.766006,17133.70882948,23.51289,32887.55248798,36.21398,14.176558,14.753914,13.455317,1.298597,0.577355,0.721242,-18.11114,7.465796,2.0,6.0,0.0,13.187823,0.09265999,6.0,,,,NOT_AVAILABLE,0,0,0.85164457,0.86453851,0.88309519,0.9011651,0.94563314,277.6284983,5.21160607
787132,787131,NGC_6633,4780,4284374227334956032,0,1,0.5444277194121191,276.7106536,0.03605871,4.74188883,0.03557823,34.37140023,7.62543731,1.40865687,0.04754038,-2.00607048,0.04391292,2.4647397,0.04075896,,,-0.062638,0.033834,-0.025491,,,,31,28.0047797,1.38234,1.0620931,1.0,11293.40258326,6.227622,3794.08163269,13.686954,10818.0637867,19.015375,15.555305,16.390776,14.662521,1.728254,0.835471,0.892783,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.68938029,0.69814694,0.71061352,0.72014445,0.74491,276.7106473,4.74189775
