recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
944991,944990,Stock_2,5361,414295195378680448,0,0,0.22486234425414567,17.77028391,0.03802571,59.9611672,0.04302096,125.39092,-2.81676336,18.92321738,0.04910124,-9.86464187,0.06023152,2.85082905,0.06492142,,,-0.10016,0.1281,-0.36715,,,,31,47.1788817,1.3004292,1.0035515,1.0,3008.07809343,1.94178,694.69827355,4.804118,3459.62237127,8.721731,16.991644,18.23405,15.900324,2.333727,1.242407,1.09132,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.56715433,0.58295229,0.59842992,0.61702842,0.63341184,17.7701159,59.961211
944992,944991,Stock_2,5361,440199551883888384,0,0,0.22413273387946236,46.76186218,0.0277169,52.3154668,0.03001551,142.9544463,-5.20416068,11.50325939,0.03836001,-13.80784565,0.04530322,2.29487222,0.04267715,,,0.23512,0.14896,0.34624,,,,31,33.2939796,1.3590227,1.0175133,1.0,7155.22667214,3.1261985,2218.04074745,7.2246923,7171.27753577,11.809824,16.050808,16.973618,15.108904,1.864714,0.92281,0.941904,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.66211017,0.67400516,0.69335266,0.70818944,0.72984391,46.76177855,52.3155282
944993,944992,Stock_2,5361,442226291114215808,0,0,0.22296962385884664,52.86480541,0.30208075,51.0476201,0.2793253,146.8392861,-4.24225964,9.68307639,0.4233176,-13.72421181,0.3953261,2.11223951,0.43464488,1.2143749,0.08391441,0.21253,0.071204,0.25564,-0.065144,0.077684,-0.18179,95,30.9397412,,0.99496126,0.99951172,213.63539769,0.85630184,35.78854505,4.053108,296.96160623,7.1345115,19.863184,21.454182,18.566145,2.888037,1.590998,1.297039,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.26911344,0.28413282,0.30127244,0.31845671,0.33638583,52.86473696,51.0476811
944994,944993,Stock_2,5361,442704926566883584,0,0,0.22413273387946236,50.73471307,0.07524288,51.3077974,0.07603449,145.5841129,-4.77616286,10.85515013,0.11011559,-14.44456847,0.122562,2.32700194,0.11065338,,,0.23372,0.18445,0.35356,,,,31,31.5731489,1.2781898,1.1188012,1.0,1726.9136113,1.7538683,343.42249286,11.226444,2087.6147013,9.390987,17.59419,18.99897,16.44877,2.550199,1.404779,1.14542,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.50857872,0.5225634,0.53832301,0.5542332,0.57105956,50.73463589,51.3078616
944995,944994,Stock_2,5361,443014262991341184,0,0,0.22413273387946236,50.29769358,0.14125971,52.3078314,0.13765553,144.8099358,-4.08529065,10.01267246,0.18588348,-14.13799946,0.18654068,2.34484399,0.23092796,1.1847007,0.0371506,0.31877,0.19776,0.1885,0.17484,0.025658,0.0036657,95,32.6082403,,1.0718495,1.0,827.44643212,1.4482574,132.52673311,8.615515,1118.68141422,10.925912,18.393017,20.032784,17.12613,2.906654,1.639767,1.266888,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.42467334,0.43948008,0.45775803,0.47316355,0.49003847,50.29762079,52.3078942
944996,944995,Stock_2,5361,443130231408346112,0,0,0.22429501743539465,51.43244138,0.01302869,51.9190937,0.01353552,145.6077534,-4.02727463,9.62505576,0.01990177,-14.04451932,0.02131146,2.16298044,0.01953315,,,-0.022045,0.20595,0.31012,,,,31,32.0300403,1.4289758,1.063161,1.0,40163.03442119,15.901023,15905.19093335,25.169489,34938.61983767,46.537575,14.1778,14.834695,13.389631,1.445064,0.656895,0.788169,10.827231,2.873419,2.0,24.0,5.0,13.05141,0.06704973,20.0,,,,VARIABLE,0,0,0.88554834,0.90774155,0.94202208,0.97012457,1.01214877,51.43237203,51.9191561
944997,944996,Stock_2,5361,444750671029036160,0,0,0.2264459095368248,53.96332325,0.05229687,53.148346,0.04688607,146.1706415,-2.13928851,9.22319631,0.07469955,-15.37742742,0.06873202,2.21724124,0.07491747,,,-0.025243,0.19936,0.13812,,,,31,32.7686151,1.3019123,1.0280163,1.0,2972.86205652,2.0828688,668.37912219,10.394954,3428.42423046,10.918527,17.00443,18.275986,15.910159,2.365827,1.271555,1.094272,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.56590656,0.5814837,0.59719431,0.61579274,0.63188924,53.9632549,53.1484144
944998,944997,Stock_2,5361,445071517968590464,0,0,0.2264459095368248,53.68880955,0.10490078,54.3908763,0.09899056,145.3132049,-1.22514938,9.0954731,0.1499242,-14.72005955,0.14626054,2.22581185,0.13813214,1.2155231,0.0288424,0.0043292,0.055147,0.16512,0.023439,0.10681,-0.094692,95,34.0066265,,1.001009,1.0,854.23110817,1.2381318,145.71973311,8.738954,1108.25376847,9.116897,18.358429,19.929747,17.136297,2.793449,1.571318,1.222132,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.42848136,0.44315967,0.46151486,0.4770787,0.49390221,53.68874012,54.3909417
944999,944998,Stock_2,5361,446097950729411328,0,0,0.22429501743539465,49.21531542,0.05195932,53.0591865,0.05874376,143.8511538,-3.80224113,10.39735886,0.06985874,-13.71532302,0.0815968,2.24071356,0.07916218,,,0.058594,0.15914,0.37837,,,,31,33.5245927,1.3014905,0.93878466,1.0,2640.41557961,2.0594504,614.96058453,6.7296715,2992.91393026,9.850612,17.133186,18.366425,16.05766,2.308765,1.233238,1.075527,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.5522421,0.56718414,0.58453924,0.60100885,0.61783645,49.21523853,53.0592474
945000,944999,Stock_2,5361,446416980900194304,0,0,0.2264459095368248,48.61635151,0.01143426,54.2157425,0.01198398,142.9403391,-3.00408224,10.65938003,0.01637763,-15.27289778,0.01659416,2.32225456,0.01711104,,,-0.050282,-0.046831,0.25544,,,,31,34.7340974,1.5407745,1.0044764,1.0,422459.88722324,134.01779,220568.24548583,156.43565,288253.11882676,124.78869,11.622903,11.979685,11.09846,0.881225,0.356782,0.524443,6.321606,1.832942,1.0,14.0,5.0,10.873196,0.00855827,6.0,62.421448,5.393144,6.0,NOT_AVAILABLE,0,0,1.39211184,1.48818143,1.52833467,1.61637667,1.65437402,48.61627049,54.2158104
